,ArtistId,artist,genre,count,sum
179,230,Aaron Copland & London Symphony Orchestra,Classical,1,230
180,274,Nash Ensemble,Classical,1,274
181,232,Sergei Prokofiev & Yuri Temirkanov,Classical,1,232
182,275,Philip Glass Ensemble,Soundtrack,1,275
183,215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,Classical,1,215
184,229,Boston Symphony Orchestra & Seiji Ozawa,Classical,1,229
185,258,Les Arts Florissants & William Christie,Classical,1,258
186,231,Ton Koopman,Classical,1,231
187,250,Christopher O'Riley,Classical,1,250
188,201,Luciana Souza/Romero Lubambo,Latin,1,201
189,268,Itzhak Perlman,Classical,1,268
190,249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",Opera,1,249
191,222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Classical,1,222
192,213,Scholars Baroque Ensemble,Classical,1,213
193,203,Nicolaus Esterhazy Sinfonia,Classical,1,203
194,271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",Classical,1,271
195,196,Cake,Alternative,1,196
196,237,Berliner Philharmoniker & Hans Rosbaud,Classical,1,237
197,263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",Classical,1,263
198,238,Maurizio Pollini,Classical,1,238
199,253,Calexico,Alternative,1,253
200,217,Royal Philharmonic Orchestra & Sir Thomas Beecham,Classical,1,217
201,267,Göteborgs Symfoniker & Neeme Järvi,Classical,1,267
202,236,James Levine,Classical,1,236
203,212,Yo-Yo Ma,Classical,1,212
204,157,Dread Zeppelin,Rock,1,157
205,228,Leonard Bernstein & New York Philharmonic,Classical,1,228
206,233,Chicago Symphony Orchestra & Fritz Reiner,Classical,1,233
207,216,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",Classical,1,216
208,265,Julian Bream,Classical,1,265
209,260,Adrian Leaper & Doreen de Feis,Classical,1,260
210,244,Choir Of Westminster Abbey & Simon Preston,Classical,1,244
211,159,Aquaman,TV Shows,1,159
212,211,Wilhelm Kempff,Classical,1,211
213,270,Gerald Moore,Classical,1,270
214,259,The 12 Cellists of The Berlin Philharmonic,Classical,1,259
215,273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",Classical,1,273
216,261,"Roger Norrington, London Classical Players",Classical,1,261
217,272,Emerson String Quartet,Classical,1,272
218,251,Fretwork,Classical,1,251
219,264,Kent Nagano and Orchestre de l'Opéra de Lyon,Classical,1,264
220,207,"Richard Marlow & The Choir of Trinity College, Cambridge",Classical,1,207
221,257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",Classical,1,257
222,255,Yehudi Menuhin,Classical,1,255
223,240,Gustav Mahler,Classical,1,240
224,242,Edo de Waart & San Francisco Symphony,Classical,1,242
225,256,Philharmonia Orchestra & Sir Neville Marriner,Classical,1,256
226,269,Michele Campanella,Classical,1,269
227,227,Luciano Pavarotti,Classical,1,227
228,262,Charles Dutoit & L'Orchestre Symphonique de Montréal,Classical,1,262
229,234,Orchestra of The Age of Enlightenment,Classical,1,234
230,219,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Classical,1,219
231,243,Antal Doráti & London Symphony Orchestra,Classical,1,243
232,266,Martin Roscoe,Classical,1,266
